created_at,sentiment
Sat Apr 04 16:06:58 +0000 2020,0.09444444444444443
Sat Apr 04 16:28:09 +0000 2020,0.09444444444444443
Sat Apr 04 16:46:38 +0000 2020,-0.5
Sat Apr 04 16:53:54 +0000 2020,-0.06666666666666667
Sat Apr 04 17:36:54 +0000 2020,-0.4
Sat Apr 04 18:17:17 +0000 2020,0.3
Sat Apr 04 18:49:07 +0000 2020,-0.5
Sat Apr 04 18:50:26 +0000 2020,0.125
Sat Apr 04 18:58:15 +0000 2020,-0.5
Sat Apr 04 19:34:47 +0000 2020,0.2857142857142857
Sat Apr 04 19:55:58 +0000 2020,-0.06666666666666667
Sat Apr 04 20:33:25 +0000 2020,0.09444444444444443
Sat Apr 04 21:53:25 +0000 2020,-0.5
Sat Apr 04 22:12:00 +0000 2020,-0.5
Sun Apr 05 02:20:52 +0000 2020,0.09444444444444443
Sun Apr 05 02:38:55 +0000 2020,-0.5
Sun Apr 05 05:06:14 +0000 2020,0.125
Sat Apr 11 09:21:45 +0000 2020,0.22727272727272727
Sat Apr 11 10:20:50 +0000 2020,-0.25
Sat Apr 11 13:01:19 +0000 2020,0.35
Sat Apr 11 14:19:53 +0000 2020,-0.13333333333333333
Sat Apr 11 15:07:25 +0000 2020,-0.26666666666666666
Sat Apr 11 16:31:11 +0000 2020,-0.0625
Sat Apr 11 16:46:33 +0000 2020,0.0
Sat Apr 11 17:44:16 +0000 2020,0.0
Sat Apr 11 18:08:46 +0000 2020,0.04999999999999999
Sat Apr 11 18:36:10 +0000 2020,-0.33125
Sun Apr 12 06:35:35 +0000 2020,0.0
Sun Apr 12 06:47:35 +0000 2020,0.035416666666666666
Sun Apr 12 07:08:12 +0000 2020,0.035416666666666666
Sun Apr 12 07:20:50 +0000 2020,0.15714285714285714
Sun Apr 12 07:46:51 +0000 2020,0.15714285714285714
Sun Apr 12 08:28:54 +0000 2020,-0.5
Sun Apr 12 08:59:14 +0000 2020,0.035416666666666666
Sun Apr 12 09:35:47 +0000 2020,0.15000000000000002
Sun Apr 12 09:40:46 +0000 2020,0.25
Sun Apr 12 10:51:30 +0000 2020,0.15714285714285714
Sun Apr 12 14:37:43 +0000 2020,0.4375
Sun Apr 12 14:39:08 +0000 2020,0.15714285714285714
Sun Apr 12 14:42:28 +0000 2020,-0.5666666666666667
Sun Apr 12 14:44:03 +0000 2020,0.3999999999999999
Sun Apr 12 14:47:03 +0000 2020,0.3999999999999999
Sun Apr 12 14:50:48 +0000 2020,0.15000000000000002
Sun Apr 12 15:09:24 +0000 2020,0.4375
Sun Apr 12 15:22:58 +0000 2020,0.4375
Sun Apr 12 16:04:17 +0000 2020,0.3999999999999999
Sun Apr 12 16:20:16 +0000 2020,0.09166666666666669
Sun Apr 12 16:39:19 +0000 2020,0.4375
Sun Apr 12 16:41:19 +0000 2020,0.09166666666666669
Sun Apr 12 16:55:42 +0000 2020,0.09166666666666669
Sun Apr 12 17:11:42 +0000 2020,0.09166666666666669
Sun Apr 12 17:23:24 +0000 2020,0.09166666666666669
Sun Apr 12 17:31:21 +0000 2020,0.3999999999999999
Sun Apr 12 18:08:19 +0000 2020,0.3999999999999999
Sun Apr 12 18:15:37 +0000 2020,-0.2537037037037037
Sun Apr 12 19:27:15 +0000 2020,-0.03333333333333333
Mon Apr 13 01:29:35 +0000 2020,0.035416666666666666
Mon Apr 13 02:50:05 +0000 2020,0.0
Mon Apr 13 02:54:22 +0000 2020,0.16
Mon Apr 13 03:02:41 +0000 2020,0.25
Mon Apr 13 03:03:18 +0000 2020,0.25
Mon Apr 13 03:25:47 +0000 2020,0.3999999999999999
Mon Apr 13 03:30:26 +0000 2020,0.16
Mon Apr 13 04:35:57 +0000 2020,0.35
Mon Apr 13 05:55:25 +0000 2020,0.3999999999999999
Mon Apr 13 06:08:31 +0000 2020,-0.23333333333333328
Mon Apr 13 06:09:03 +0000 2020,-0.23333333333333328
Mon Apr 13 06:55:39 +0000 2020,0.3999999999999999
Mon Apr 13 07:12:34 +0000 2020,0.3999999999999999
Mon Apr 13 12:28:58 +0000 2020,0.016666666666666666
Mon Apr 13 13:57:25 +0000 2020,-0.13333333333333333
Tue Apr 14 05:35:07 +0000 2020,-0.4
Tue Apr 14 05:38:39 +0000 2020,-0.4
Tue Apr 14 05:40:25 +0000 2020,-0.4
Tue Apr 14 05:47:53 +0000 2020,-0.4
Tue Apr 14 05:52:07 +0000 2020,-0.4
Tue Apr 14 05:59:51 +0000 2020,-0.4
Tue Apr 14 07:28:27 +0000 2020,0.3333333333333333
Tue Apr 14 07:51:06 +0000 2020,-0.4
Tue Apr 14 08:29:13 +0000 2020,-0.6
Tue Apr 14 08:31:29 +0000 2020,-0.12222222222222223
Tue Apr 14 08:32:24 +0000 2020,-0.12222222222222223
Tue Apr 14 09:39:23 +0000 2020,-0.4
Tue Apr 14 09:48:16 +0000 2020,-0.2
Tue Apr 14 10:52:30 +0000 2020,-0.4
Tue Apr 14 14:16:33 +0000 2020,-0.5
Tue Apr 14 14:32:19 +0000 2020,-0.4
Tue Apr 14 16:22:48 +0000 2020,0.4000000000000001
Tue Apr 14 17:19:47 +0000 2020,0.25
Wed Apr 15 04:26:03 +0000 2020,-0.3125
Wed Apr 15 04:55:37 +0000 2020,0.17714285714285713
Wed Apr 15 07:05:08 +0000 2020,0.17714285714285713
Wed Apr 15 10:06:01 +0000 2020,-0.04999999999999999
Wed Apr 15 13:57:41 +0000 2020,0.15
Wed Apr 15 16:23:14 +0000 2020,0.17688311688311692
Fri May 01 04:46:41 +0000 2020,0.25
Fri May 01 06:06:27 +0000 2020,-0.07999999999999999
Fri May 01 07:45:10 +0000 2020,-0.5000000000000001
Fri May 01 07:58:37 +0000 2020,0.5
Fri May 01 10:05:40 +0000 2020,0.35714285714285715
Fri May 01 10:18:33 +0000 2020,-0.5000000000000001
Fri May 01 10:48:43 +0000 2020,0.35714285714285715
Fri May 01 11:28:14 +0000 2020,0.4
Fri May 01 12:01:08 +0000 2020,0.0
Fri May 01 12:03:43 +0000 2020,0.8
Fri May 01 12:49:22 +0000 2020,0.24583333333333332
Fri May 01 12:50:15 +0000 2020,0.025
Fri May 01 14:22:30 +0000 2020,0.05
Fri May 01 16:54:56 +0000 2020,-0.07999999999999999
Fri May 01 17:43:40 +0000 2020,0.3
Sat May 02 03:53:30 +0000 2020,0.1
Sat May 02 03:54:19 +0000 2020,0.025
Sat May 02 06:30:04 +0000 2020,0.0
Sat May 02 06:30:41 +0000 2020,0.25
Sat May 02 06:34:19 +0000 2020,0.4
Sat May 02 06:35:55 +0000 2020,0.2857142857142857
Sat May 02 06:49:19 +0000 2020,0.22499999999999998
Sat May 02 09:19:09 +0000 2020,-0.30833333333333335
Sat May 02 09:45:47 +0000 2020,-0.033333333333333326
Sat May 02 09:51:51 +0000 2020,0.04
Sat May 02 10:33:15 +0000 2020,0.6
Sat May 02 10:38:30 +0000 2020,-0.4
Sat May 02 11:44:59 +0000 2020,0.2125
Sat May 02 12:11:35 +0000 2020,-0.4
Sat May 02 12:15:03 +0000 2020,-0.4
Sat May 02 12:56:26 +0000 2020,-0.75
Sat May 02 12:59:43 +0000 2020,-0.24776785714285715
Sat May 02 14:42:56 +0000 2020,-0.4
Sat May 02 14:46:41 +0000 2020,0.25
Sat May 02 14:47:22 +0000 2020,-0.4
Sat May 02 14:57:05 +0000 2020,0.17333333333333334
Sat May 02 15:23:23 +0000 2020,0.2
Sun May 03 04:05:12 +0000 2020,-0.4
Sun May 03 05:12:37 +0000 2020,-0.21250000000000002
Sun May 03 06:04:24 +0000 2020,-0.4
Sun May 03 07:07:21 +0000 2020,-0.09999999999999999
Sun May 03 07:19:19 +0000 2020,0.825
Sun May 03 08:25:39 +0000 2020,0.16666666666666666
Sun May 03 08:25:56 +0000 2020,0.16666666666666666
Sun May 03 08:32:35 +0000 2020,0.16666666666666666
Sun May 03 08:46:35 +0000 2020,0.16666666666666666
Sun May 03 09:11:22 +0000 2020,0.16666666666666666
Sun May 03 11:34:41 +0000 2020,0.25
Sun May 03 12:18:24 +0000 2020,0.16666666666666666
Sun May 03 12:37:45 +0000 2020,0.35
Mon May 04 04:24:10 +0000 2020,0.07142857142857142
Mon May 04 04:30:58 +0000 2020,-0.48333333333333334
Mon May 04 05:34:18 +0000 2020,0.16666666666666666
Mon May 04 06:48:25 +0000 2020,0.05000000000000001
Mon May 04 08:30:41 +0000 2020,0.3
Mon May 04 11:54:22 +0000 2020,0.35714285714285715
Mon May 04 15:09:12 +0000 2020,0.23333333333333336
Mon May 04 16:58:59 +0000 2020,0.3
Tue May 05 04:29:39 +0000 2020,-0.0638888888888889
Fri May 15 04:35:42 +0000 2020,0.8
Fri May 15 04:54:17 +0000 2020,0.35
Fri May 15 04:55:31 +0000 2020,0.6
